record_id,amount_cents,status
R0360,2320,posted
R0361,2357,posted
R0362,2394,posted
R0363,2431,posted
R0364,2468,void
R0365,2505,posted
R0366,2542,posted
R0367,2579,posted
R0368,2616,posted
R0369,2653,posted
R0370,2690,posted
R0371,2727,posted
R0372,2764,posted
R0373,2801,posted
R0374,2838,posted
R0375,2875,posted
R0376,2912,posted
R0377,2949,void
R0378,2986,posted
R0379,3023,posted
R0380,3060,posted
R0381,3097,posted
R0382,3134,posted
R0383,3171,posted
R0384,3208,posted
R0385,3245,posted
R0386,3282,posted
R0387,3319,posted
R0388,3356,posted
R0389,3393,posted
R0390,3430,void
R0391,3467,posted
R0392,3504,posted
R0393,3541,posted
R0394,3578,posted
R0395,3615,posted
R0396,3652,posted
R0397,3689,posted
R0398,3726,posted
R0399,3763,posted
R0400,3800,posted
R0401,3837,posted
R0402,3874,posted
R0403,3911,void
R0404,3948,posted
R0405,3985,posted
R0406,-978,posted
R0407,-941,posted
R0408,-904,posted
R0409,-867,posted
R0410,-830,posted
R0411,-793,posted
R0412,-756,posted
R0413,-719,posted
R0414,-682,posted
R0415,-645,posted
R0416,-608,void
R0417,-571,posted
R0418,-534,posted
R0419,-497,posted
R0420,-460,posted
R0421,-423,posted
R0422,-386,posted
R0423,-349,posted
