record_id,amount_cents,status
R0120,3440,posted
R0121,3477,posted
R0122,3514,posted
R0123,3551,posted
R0124,3588,posted
R0125,3625,posted
R0126,3662,posted
R0127,3699,posted
R0128,3736,posted
R0129,3773,posted
R0130,3810,void
R0131,3847,posted
R0132,3884,posted
R0133,3921,posted
R0134,3958,posted
R0135,3995,posted
R0136,-968,posted
R0137,-931,posted
R0138,-894,posted
R0139,-857,posted
R0140,-820,posted
R0141,-783,posted
R0142,-746,posted
R0143,-709,void
R0144,-672,posted
R0145,-635,posted
R0146,-598,posted
R0147,-561,posted
R0148,-524,posted
R0149,-487,posted
R0150,-450,posted
R0151,-413,posted
R0152,-376,posted
R0153,-339,posted
R0154,-302,posted
R0155,-265,posted
R0156,-228,void
R0157,-191,posted
R0158,-154,posted
R0159,-117,posted
R0160,-80,posted
R0161,-43,posted
R0162,-6,posted
R0163,31,posted
R0164,68,posted
R0165,105,posted
R0166,142,posted
R0167,179,posted
R0168,216,posted
R0169,253,void
R0170,290,posted
R0171,327,posted
R0172,364,posted
R0173,401,posted
R0174,438,posted
R0175,475,posted
R0176,512,posted
R0177,549,posted
R0178,586,posted
R0179,623,posted
R0180,660,posted
R0181,697,posted
R0182,734,void
R0183,771,posted
