record_id,amount_cents,status
R0060,1220,posted
R0061,1257,posted
R0062,1294,posted
R0063,1331,posted
R0064,1368,posted
R0065,1405,void
R0066,1442,posted
R0067,1479,posted
R0068,1516,posted
R0069,1553,posted
R0070,1590,posted
R0071,1627,posted
R0072,1664,posted
R0073,1701,posted
R0074,1738,posted
R0075,1775,posted
R0076,1812,posted
R0077,1849,posted
R0078,1886,void
R0079,1923,posted
R0080,1960,posted
R0081,1997,posted
R0082,2034,posted
R0083,2071,posted
R0084,2108,posted
R0085,2145,posted
R0086,2182,posted
R0087,2219,posted
R0088,2256,posted
R0089,2293,posted
R0090,2330,posted
R0091,2367,void
R0092,2404,posted
R0093,2441,posted
R0094,2478,posted
R0095,2515,posted
R0096,2552,posted
R0097,2589,posted
R0098,2626,posted
R0099,2663,posted
R0100,2700,posted
R0101,2737,posted
R0102,2774,posted
R0103,2811,posted
R0104,2848,void
R0105,2885,posted
R0106,2922,posted
R0107,2959,posted
R0108,2996,posted
R0109,3033,posted
R0110,3070,posted
R0111,3107,posted
R0112,3144,posted
R0113,3181,posted
R0114,3218,posted
R0115,3255,posted
R0116,3292,posted
R0117,3329,void
R0118,3366,posted
R0119,3403,posted
R0120,3440,posted
R0121,3477,posted
R0122,3514,posted
R0123,3551,posted
