record_id,amount_cents,status
R0480,1760,posted
R0481,1797,void
R0482,1834,posted
R0483,1871,posted
R0484,1908,posted
R0485,1945,posted
R0486,1982,posted
R0487,2019,posted
R0488,2056,posted
R0489,2093,posted
R0490,2130,posted
R0491,2167,posted
R0492,2204,posted
R0493,2241,posted
R0494,2278,void
R0495,2315,posted
R0496,2352,posted
R0497,2389,posted
R0498,2426,posted
R0499,2463,posted
R0500,2500,posted
R0501,2537,posted
R0502,2574,posted
R0503,2611,posted
R0504,2648,posted
R0505,2685,posted
R0506,2722,posted
R0507,2759,void
R0508,2796,posted
R0509,2833,posted
R0510,2870,posted
R0511,2907,posted
R0512,2944,posted
R0513,2981,posted
R0514,3018,posted
R0515,3055,posted
R0516,3092,posted
R0517,3129,posted
R0518,3166,posted
R0519,3203,posted
R0520,3240,void
R0521,3277,posted
R0522,3314,posted
R0523,3351,posted
R0524,3388,posted
R0525,3425,posted
R0526,3462,posted
R0527,3499,posted
R0528,3536,posted
R0529,3573,posted
R0530,3610,posted
R0531,3647,posted
R0532,3684,posted
R0533,3721,void
R0534,3758,posted
R0535,3795,posted
R0536,3832,posted
R0537,3869,posted
R0538,3906,posted
R0539,3943,posted
R0540,3980,posted
R0541,-983,posted
R0542,-946,posted
R0543,-909,posted
