record_id,amount_cents,status
R0660,3420,posted
R0661,3457,posted
R0662,3494,posted
R0663,3531,void
R0664,3568,posted
R0665,3605,posted
R0666,3642,posted
R0667,3679,posted
R0668,3716,posted
R0669,3753,posted
R0670,3790,posted
R0671,3827,posted
R0672,3864,posted
R0673,3901,posted
R0674,3938,posted
R0675,3975,posted
R0676,-988,void
R0677,-951,posted
R0678,-914,posted
R0679,-877,posted
R0680,-840,posted
R0681,-803,posted
R0682,-766,posted
R0683,-729,posted
R0684,-692,posted
R0685,-655,posted
R0686,-618,posted
R0687,-581,posted
R0688,-544,posted
R0689,-507,void
R0690,-470,posted
R0691,-433,posted
R0692,-396,posted
R0693,-359,posted
R0694,-322,posted
R0695,-285,posted
R0696,-248,posted
R0697,-211,posted
R0698,-174,posted
R0699,-137,posted
R0700,-100,posted
R0701,-63,posted
R0702,-26,void
R0703,11,posted
R0704,48,posted
R0705,85,posted
R0706,122,posted
R0707,159,posted
R0708,196,posted
R0709,233,posted
R0710,270,posted
R0711,307,posted
R0712,344,posted
R0713,381,posted
R0714,418,posted
R0715,455,void
R0716,492,posted
R0717,529,posted
R0718,566,posted
R0719,603,posted
R0720,640,posted
R0721,677,posted
R0722,714,posted
R0723,751,posted
