record_id,amount_cents,status
R0180,660,posted
R0181,697,posted
R0182,734,void
R0183,771,posted
R0184,808,posted
R0185,845,posted
R0186,882,posted
R0187,919,posted
R0188,956,posted
R0189,993,posted
R0190,1030,posted
R0191,1067,posted
R0192,1104,posted
R0193,1141,posted
R0194,1178,posted
R0195,1215,void
R0196,1252,posted
R0197,1289,posted
R0198,1326,posted
R0199,1363,posted
R0200,1400,posted
R0201,1437,posted
R0202,1474,posted
R0203,1511,posted
R0204,1548,posted
R0205,1585,posted
R0206,1622,posted
R0207,1659,posted
R0208,1696,void
R0209,1733,posted
R0210,1770,posted
R0211,1807,posted
R0212,1844,posted
R0213,1881,posted
R0214,1918,posted
R0215,1955,posted
R0216,1992,posted
R0217,2029,posted
R0218,2066,posted
R0219,2103,posted
R0220,2140,posted
R0221,2177,void
R0222,2214,posted
R0223,2251,posted
R0224,2288,posted
R0225,2325,posted
R0226,2362,posted
R0227,2399,posted
R0228,2436,posted
R0229,2473,posted
R0230,2510,posted
R0231,2547,posted
R0232,2584,posted
R0233,2621,posted
R0234,2658,void
R0235,2695,posted
R0236,2732,posted
R0237,2769,posted
R0238,2806,posted
R0239,2843,posted
R0240,2880,posted
R0241,2917,posted
R0242,2954,posted
R0243,2991,posted
