record_id,amount_cents,status
R0240,2880,posted
R0241,2917,posted
R0242,2954,posted
R0243,2991,posted
R0244,3028,posted
R0245,3065,posted
R0246,3102,posted
R0247,3139,void
R0248,3176,posted
R0249,3213,posted
R0250,3250,posted
R0251,3287,posted
R0252,3324,posted
R0253,3361,posted
R0254,3398,posted
R0255,3435,posted
R0256,3472,posted
R0257,3509,posted
R0258,3546,posted
R0259,3583,posted
R0260,3620,void
R0261,3657,posted
R0262,3694,posted
R0263,3731,posted
R0264,3768,posted
R0265,3805,posted
R0266,3842,posted
R0267,3879,posted
R0268,3916,posted
R0269,3953,posted
R0270,3990,posted
R0271,-973,posted
R0272,-936,posted
R0273,-899,void
R0274,-862,posted
R0275,-825,posted
R0276,-788,posted
R0277,-751,posted
R0278,-714,posted
R0279,-677,posted
R0280,-640,posted
R0281,-603,posted
R0282,-566,posted
R0283,-529,posted
R0284,-492,posted
R0285,-455,posted
R0286,-418,void
R0287,-381,posted
R0288,-344,posted
R0289,-307,posted
R0290,-270,posted
R0291,-233,posted
R0292,-196,posted
R0293,-159,posted
R0294,-122,posted
R0295,-85,posted
R0296,-48,posted
R0297,-11,posted
R0298,26,posted
R0299,63,void
R0300,100,posted
R0301,137,posted
R0302,174,posted
R0303,211,posted
