record_id,amount_cents,status
R0420,-460,posted
R0421,-423,posted
R0422,-386,posted
R0423,-349,posted
R0424,-312,posted
R0425,-275,posted
R0426,-238,posted
R0427,-201,posted
R0428,-164,posted
R0429,-127,void
R0430,-90,posted
R0431,-53,posted
R0432,-16,posted
R0433,21,posted
R0434,58,posted
R0435,95,posted
R0436,132,posted
R0437,169,posted
R0438,206,posted
R0439,243,posted
R0440,280,posted
R0441,317,posted
R0442,354,void
R0443,391,posted
R0444,428,posted
R0445,465,posted
R0446,502,posted
R0447,539,posted
R0448,576,posted
R0449,613,posted
R0450,650,posted
R0451,687,posted
R0452,724,posted
R0453,761,posted
R0454,798,posted
R0455,835,void
R0456,872,posted
R0457,909,posted
R0458,946,posted
R0459,983,posted
R0460,1020,posted
R0461,1057,posted
R0462,1094,posted
R0463,1131,posted
R0464,1168,posted
R0465,1205,posted
R0466,1242,posted
R0467,1279,posted
R0468,1316,void
R0469,1353,posted
R0470,1390,posted
R0471,1427,posted
R0472,1464,posted
R0473,1501,posted
R0474,1538,posted
R0475,1575,posted
R0476,1612,posted
R0477,1649,posted
R0478,1686,posted
R0479,1723,posted
R0480,1760,posted
R0481,1797,void
R0482,1834,posted
R0483,1871,posted
