record_id,amount_cents,status
R0000,-1000,void
R0001,-963,posted
R0002,-926,posted
R0003,-889,posted
R0004,-852,posted
R0005,-815,posted
R0006,-778,posted
R0007,-741,posted
R0008,-704,posted
R0009,-667,posted
R0010,-630,posted
R0011,-593,posted
R0012,-556,posted
R0013,-519,void
R0014,-482,posted
R0015,-445,posted
R0016,-408,posted
R0017,-371,posted
R0018,-334,posted
R0019,-297,posted
R0020,-260,posted
R0021,-223,posted
R0022,-186,posted
R0023,-149,posted
R0024,-112,posted
R0025,-75,posted
R0026,-38,void
R0027,-1,posted
R0028,36,posted
R0029,73,posted
R0030,110,posted
R0031,147,posted
R0032,184,posted
R0033,221,posted
R0034,258,posted
R0035,295,posted
R0036,332,posted
R0037,369,posted
R0038,406,posted
R0039,443,void
R0040,480,posted
R0041,517,posted
R0042,554,posted
R0043,591,posted
R0044,628,posted
R0045,665,posted
R0046,702,posted
R0047,739,posted
R0048,776,posted
R0049,813,posted
R0050,850,posted
R0051,887,posted
R0052,924,void
R0053,961,posted
R0054,998,posted
R0055,1035,posted
R0056,1072,posted
R0057,1109,posted
R0058,1146,posted
R0059,1183,posted
R0060,1220,posted
R0061,1257,posted
R0062,1294,posted
R0063,1331,posted
