record_id,amount_cents,status
R0300,100,posted
R0301,137,posted
R0302,174,posted
R0303,211,posted
R0304,248,posted
R0305,285,posted
R0306,322,posted
R0307,359,posted
R0308,396,posted
R0309,433,posted
R0310,470,posted
R0311,507,posted
R0312,544,void
R0313,581,posted
R0314,618,posted
R0315,655,posted
R0316,692,posted
R0317,729,posted
R0318,766,posted
R0319,803,posted
R0320,840,posted
R0321,877,posted
R0322,914,posted
R0323,951,posted
R0324,988,posted
R0325,1025,void
R0326,1062,posted
R0327,1099,posted
R0328,1136,posted
R0329,1173,posted
R0330,1210,posted
R0331,1247,posted
R0332,1284,posted
R0333,1321,posted
R0334,1358,posted
R0335,1395,posted
R0336,1432,posted
R0337,1469,posted
R0338,1506,void
R0339,1543,posted
R0340,1580,posted
R0341,1617,posted
R0342,1654,posted
R0343,1691,posted
R0344,1728,posted
R0345,1765,posted
R0346,1802,posted
R0347,1839,posted
R0348,1876,posted
R0349,1913,posted
R0350,1950,posted
R0351,1987,void
R0352,2024,posted
R0353,2061,posted
R0354,2098,posted
R0355,2135,posted
R0356,2172,posted
R0357,2209,posted
R0358,2246,posted
R0359,2283,posted
R0360,2320,posted
R0361,2357,posted
R0362,2394,posted
R0363,2431,posted
